rally_idx,shot_idx,t_s,player,predicted,confidence,truth
1,0,1.08,player_2,serve,0.71,
1,1,2.66,,return,0.13,
1,2,3.27,,unknown,0.2,
2,0,5.78,,serve,0.38,
2,1,6.5,player_3,return,0.75,
2,2,7.27,player_1,third_shot_drop,0.75,
2,3,7.75,player_2,drop,0.75,
2,4,9.23,player_1,unknown,0.34,
3,0,12.13,player_1,serve,0.87,
3,1,13.39,player_2,return,0.88,
3,2,14.03,player_5,third_shot_drive,0.74,
3,3,14.91,player_1,reset,0.74,
3,4,15.06,player_1,unknown,0.21,
3,5,15.9,player_1,overhead,0.43,
4,0,37.83,,serve,0.32,
4,1,38.03,,return,0.32,
4,2,38.61,,unknown,0.19,
4,3,40.24,player_8,unknown,0.3,
4,4,40.47,player_8,unknown,0.16,
4,5,42.53,,unknown,0.19,
5,0,51.71,,serve,0.32,
5,1,51.91,,return,0.39,
5,2,55.3,player_11,unknown,0.35,
6,0,59.78,,serve,0.38,
6,1,62.4,player_12,return,0.75,
6,2,62.61,player_12,volley,0.42,
6,3,64.08,player_12,unknown,0.17,
6,4,64.92,player_12,unknown,0.21,
6,5,65.78,,unknown,0.07,
6,6,66.96,player_14,drop,0.74,
6,7,67.2,player_14,unknown,0.18,
6,8,67.9,player_14,lob,0.36,
6,9,68.07,player_14,unknown,0.18,
6,10,68.33,player_14,unknown,0.15,
7,0,79.43,player_14,serve,0.75,
7,1,79.71,player_14,return,0.41,
7,2,80.9,player_14,unknown,0.21,
7,3,82.04,player_15,drive,0.75,
7,4,82.91,player_14,block,0.75,
7,5,83.28,player_14,volley,0.36,
7,6,83.77,player_14,dink,0.35,
7,7,84.07,player_11,unknown,0.35,
8,0,82.04,player_15,serve,0.75,
8,1,82.91,player_14,return,0.75,
8,2,83.28,player_14,volley,0.36,
8,3,83.77,player_14,dink,0.35,
8,4,84.07,player_11,drop,0.89,
8,5,84.9,player_14,drop,0.89,
8,6,87.16,player_14,unknown,0.21,
