rally_idx,shot_idx,t_s,player,predicted,confidence,truth
1,0,0.07,player_1,serve,0.71,
1,1,2.2,player_2,return,0.57,
1,2,3.87,,unknown,0.2,
1,3,4.67,player_3,drop,0.71,
1,4,5,player_3,unknown,0.17,
1,5,5.53,player_1,drop,0.71,
1,6,5.87,player_1,unknown,0.17,
1,7,6.6,player_1,unknown,0.17,
1,8,9.4,player_1,unknown,0.17,
1,9,10.27,player_1,lob,0.34,
1,10,13.93,player_1,unknown,0.17,
1,11,14.2,player_1,unknown,0.14,
1,12,16.73,player_1,lob,0.34,
1,13,17.27,player_1,lob,0.4,
1,14,17.87,player_1,lob,0.34,
1,15,18.33,player_1,unknown,0.2,
2,0,18.33,player_1,serve,0.71,
2,1,19.23,player_1,return,0.34,
2,2,19.57,player_1,lob,0.32,
2,3,21.63,player_1,lob,0.34,
2,4,21.9,player_1,unknown,0.17,
2,5,22.57,player_1,lob,0.4,
3,0,28.97,player_1,serve,0.83,
3,1,31.1,player_1,return,0.34,
3,2,32.37,player_1,dink,0.4,
3,3,32.74,player_1,unknown,0.2,
4,0,32.74,player_1,serve,0.71,
4,1,33.47,player_1,return,0.34,
4,2,35.74,player_3,unknown,0.33,
5,0,38.57,,serve,0.33,
5,1,38.97,,return,0.33,
5,2,39.24,player_1,third_shot_drop,0.71,
5,3,39.84,player_1,volley,0.28,
5,4,41.7,player_1,unknown,0.2,
5,5,43.5,player_1,unknown,0.17,
5,6,44.57,player_1,unknown,0.2,
5,7,46.5,player_1,drive,0.43,
5,8,46.9,player_1,unknown,0.16,
5,9,47.64,player_1,unknown,0.2,
6,0,47.64,player_1,serve,0.71,
6,1,48.7,player_1,return,0.34,
6,2,50.3,player_1,unknown,0.15,
6,3,50.77,player_1,unknown,0.17,
6,4,51.04,player_1,unknown,0.2,
7,0,55.14,player_1,serve,0.71,
7,1,55.8,player_1,return,0.4,
7,2,56.94,,unknown,0.17,
7,3,57.27,player_1,lob,0.71,
7,4,57.54,player_1,unknown,0.17,
7,5,57.94,player_1,lob,0.34,
7,6,58.67,player_1,unknown,0.17,
7,7,59,player_1,overhead,0.4,
8,0,61.1,player_1,serve,0.71,
8,1,62.57,player_1,return,0.34,
8,2,62.9,player_1,lob,0.34,
